Date	a	c	d	f	g	k	n	s	w	z
2000-04-13	1	1	1	1	1	1	1	0	1	1
2000-04-14	1	1	1	1	1	1	1	0	1	1
2000-04-15	1	1	1	1	1	1	1	0	1	1
2000-04-16	1	1	1	1	1	1	1	0	1	1
2000-04-17	1	1	1	1	1	1	1	0	1	1
2000-04-18	1	1	1	1	1	1	1	0	1	1
2000-04-19	1	1	1	1	1	1	1	0	1	1
2000-04-20	1	1	1	1	1	1	1	0	1	1
2000-04-21	1	1	1	1	1	1	1	0	1	1
2000-04-22	1	1	1	1	1	1	1	0	1	1
2000-04-23	1	1	1	1	1	1	1	0	1	1
2000-04-24	1	1	1	1	1	1	1	0	1	1
2000-04-25	1	1	1	1	1	1	1	0	1	1
2000-04-26	1	1	1	1	1	1	1	0	1	1
2000-04-27	1	1	1	1	1	1	1	0	1	1
2000-04-28	1	1	1	1	1	1	1	0	1	1
2000-04-29	1	1	1	1	1	1	1	0	1	1
2000-04-30	1	1	1	1	1	1	1	0	1	1
2000-05-01	1	0	1	1	1	1	1	0	1	1
2000-05-02	1	0	1	1	1	1	1	0	1	1
2000-05-03	1	0	1	1	1	1	1	0	1	1
2000-05-04	1	0	1	1	1	1	1	0	1	1
2000-05-05	1	0	1	1	1	1	1	0	1	1
2000-05-06	1	0	1	1	1	1	1	0	1	1
2000-05-07	1	0	1	1	1	1	1	0	1	1
2000-05-08	1	0	1	1	1	1	1	0	1	1
2000-05-09	1	0	1	1	1	1	1	0	1	1
2000-05-10	1	0	1	1	1	1	1	0	1	1
2000-05-11	1	0	1	1	1	1	1	0	1	1
2000-05-12	1	0	1	1	1	1	1	0	1	1
2000-05-13	1	0	1	1	1	1	1	0	1	1
2000-05-14	1	0	1	1	1	1	1	0	1	1
2000-05-15	1	0	1	1	1	1	1	0	1	1
2000-05-16	1	0	1	1	1	1	1	0	1	1
2000-05-17	1	0	1	1	1	1	1	0	1	1
2000-05-18	1	0	1	1	1	1	1	0	1	1
2000-05-19	1	0	1	1	1	1	1	0	1	1
2000-05-20	1	0	1	1	1	1	1	0	1	1
2000-05-21	1	0	1	1	1	1	1	0	1	1
2000-05-22	1	0	1	1	1	1	1	0	1	1
2000-05-23	1	0	1	1	1	1	1	0	1	1
2000-05-24	1	0	1	1	1	1	1	0	1	1
2000-05-25	1	0	1	1	1	1	1	0	1	1
2000-05-26	1	0	1	1	1	1	1	0	1	1
2000-05-27	1	1	1	1	1	1	1	0	1	1
2000-05-28	1	1	1	1	1	1	1	0	1	1
2000-05-29	1	1	1	1	1	1	1	0	1	1
2000-05-30	1	1	1	1	1	1	1	0	1	1
2000-05-31	1	1	1	1	1	1	1	0	1	1
2000-06-01	1	1	1	1	1	1	1	1	1	1
2000-06-02	1	1	1	1	1	1	1	1	1	1
2000-06-03	1	0	1	1	1	1	1	1	1	1
2000-06-04	1	0	1	1	1	1	0	1	1	1
2000-06-05	1	0	1	1	1	1	0	1	1	1
2000-06-06	1	0	1	1	1	1	0	1	1	1
2000-06-07	1	0	1	1	1	1	0	1	1	1
2000-06-08	1	0	1	1	1	1	0	1	1	1
2000-06-09	1	0	1	1	1	1	0	1	1	1
2000-06-10	1	0	1	1	1	1	0	1	1	1
2000-06-11	1	0	1	1	1	1	0	1	1	1
2000-06-12	1	0	1	1	1	1	0	1	1	1
2000-06-13	1	0	1	1	1	1	0	1	1	1
2000-06-14	1	0	1	1	1	1	0	1	1	1
2000-06-15	1	0	1	1	1	1	0	1	1	1
2000-06-16	1	0	1	1	1	1	0	1	1	1
2000-06-17	1	0	1	1	1	1	0	1	1	1
2000-06-18	1	0	1	1	1	1	0	1	1	1
2000-06-19	1	0	1	1	1	1	0	1	1	1
2000-06-20	1	0	1	1	1	1	0	1	1	1
2000-06-21	1	0	1	1	1	1	0	1	1	1
2000-06-22	1	0	1	1	1	1	0	1	1	1
2000-06-23	1	0	1	1	1	1	0	1	1	1
2000-06-24	1	0	1	1	1	1	0	1	1	1
2000-06-25	1	0	1	1	1	1	0	1	1	1
2000-06-26	1	0	1	1	1	1	0	1	1	1
2000-06-27	1	0	1	1	1	1	0	1	1	1
2000-06-28	1	0	1	1	1	1	0	1	1	1
2000-06-29	1	0	1	1	1	1	0	1	1	1
2000-06-30	1	0	1	1	1	1	0	1	1	1
2000-07-01	1	0	1	1	1	1	0	1	1	1
2000-07-02	1	0	1	1	1	1	0	1	1	1
2000-07-03	1	0	1	1	1	1	0	1	1	1
2000-07-04	1	0	1	1	1	1	0	1	1	1
2000-07-05	1	0	1	1	1	1	0	1	1	1
2000-07-06	1	0	1	1	1	1	0	1	1	1
2000-07-07	1	0	1	1	1	1	0	1	1	1
2000-07-08	1	0	1	1	1	1	0	1	1	1
2000-07-09	1	0	1	1	1	1	0	1	1	1
2000-07-10	1	0	1	1	1	1	0	1	1	1
2000-07-11	1	0	1	1	1	1	0	1	1	1
2000-07-12	1	0	1	1	1	1	0	1	1	1
2000-07-13	1	0	1	1	1	1	0	1	1	1
2000-07-14	1	0	1	1	1	1	0	1	1	1
2000-07-15	1	0	1	1	1	1	0	1	1	1
2000-07-16	1	1	1	1	1	1	0	1	1	1
2000-07-17	1	1	1	1	1	1	0	1	1	1
2000-07-18	1	1	1	1	1	1	0	1	1	1
2000-07-19	1	1	1	1	1	1	0	1	1	1
2000-07-20	1	1	1	1	1	1	0	1	1	1
2000-07-21	1	1	1	1	1	1	0	1	1	1
2000-07-22	1	1	1	1	1	1	0	1	1	1
2000-07-23	1	1	1	1	1	1	0	1	1	1
2000-07-24	1	1	1	1	1	1	0	1	1	1
2000-07-25	1	1	1	1	1	1	0	1	1	1
2000-07-26	1	1	1	1	1	1	0	1	1	1
2000-07-27	1	1	1	1	1	1	0	1	1	1
2000-07-28	1	1	1	0	1	1	0	1	1	1
2000-07-29	1	1	1	0	1	1	0	1	1	1
2000-07-30	1	1	1	0	1	1	0	1	1	1
2000-07-31	1	1	1	0	1	1	0	1	1	1
2000-08-01	1	1	1	0	1	1	0	1	1	1
2000-08-02	1	1	1	0	1	1	0	1	1	1
2000-08-03	1	1	1	0	1	1	0	1	1	1
2000-08-04	1	1	1	0	1	1	0	1	1	1
2000-08-05	1	1	1	0	1	1	0	1	1	1
2000-08-06	1	1	1	0	1	1	0	1	1	1
2000-08-07	1	1	1	0	1	1	0	1	1	1
2000-08-08	1	1	1	0	1	1	0	1	1	1
2000-08-09	1	1	1	0	1	1	0	1	1	1
2000-08-10	1	1	1	0	1	1	0	1	1	1
2000-08-11	1	1	1	0	1	1	0	1	1	1
2000-08-12	1	1	1	0	1	1	1	1	1	1
2000-08-13	1	1	1	0	1	1	1	1	1	1
2000-08-14	1	1	1	0	1	1	1	1	1	1
2000-08-15	1	1	1	0	1	1	1	1	1	1
2000-08-16	1	1	1	0	1	1	1	1	1	1
2000-08-17	1	1	1	0	1	1	1	1	1	1
2000-08-18	1	1	1	0	1	1	1	1	1	1
2000-08-19	1	1	1	0	1	1	1	1	1	1
2000-08-20	1	1	1	0	1	1	1	1	1	1
2000-08-21	1	1	1	0	1	1	1	1	1	1
2000-08-22	1	1	1	0	1	1	1	1	1	1
2000-08-23	1	1	1	0	1	1	1	1	1	1
2000-08-24	1	1	1	0	1	1	1	1	1	1
2000-08-25	1	1	1	0	1	1	1	1	1	1
2000-08-26	1	1	1	0	1	1	1	1	1	1
2000-08-27	1	1	1	0	1	1	1	1	1	1
2000-08-28	1	1	1	0	1	1	1	1	1	1
2000-08-29	1	1	1	0	1	1	1	1	1	1
2000-08-30	1	1	1	0	1	1	1	1	1	1
2000-08-31	1	1	1	0	1	1	1	1	1	1
2000-09-01	1	1	1	0	1	1	1	1	1	1
2000-09-02	1	1	1	0	1	1	1	1	1	1
2000-09-03	1	1	1	1	1	1	1	1	1	1
2000-09-04	1	1	1	1	1	1	1	1	1	1
2000-09-05	1	1	1	1	1	1	1	1	1	1
2000-09-06	1	1	1	1	1	1	1	1	1	1
