Date	Time	winner	loser	Draw	intensity
2000-06-22	17:25	a	w	FALSE	fight
2000-06-22	08:36	d	z	TRUE	fight
2000-06-22	07:23	s	a	FALSE	fight
2000-06-22	12:02	z	f	FALSE	threat
2000-06-23	15:56	d	f	FALSE	fight
2000-06-24	07:38	s	d	FALSE	threat
2000-06-25	17:43	f	z	FALSE	fight
2000-06-26	10:22	d	g	FALSE	threat
2000-06-26	08:50	d	k	FALSE	fight
2000-06-26	09:33	g	w	FALSE	fight
2000-06-29	06:24	g	z	TRUE	threat
2000-06-30	14:39	s	g	FALSE	fight
2000-07-04	12:15	s	z	FALSE	fight
2000-07-04	15:15	w	z	FALSE	fight
2000-07-04	15:07	d	k	TRUE	fight
2000-07-04	08:12	f	w	FALSE	fight
2000-07-05	16:45	g	k	FALSE	threat
2000-07-06	07:11	a	z	FALSE	fight
2000-07-07	12:01	s	z	FALSE	fight
2000-07-07	13:33	w	z	FALSE	threat
2000-07-07	09:22	w	z	FALSE	fight
2000-07-07	14:20	a	d	FALSE	fight
2000-07-14	13:50	g	w	TRUE	threat
2000-07-14	06:18	f	w	FALSE	fight
2000-07-14	13:07	a	s	FALSE	threat
2000-07-14	10:25	d	k	FALSE	fight
2000-07-15	07:42	s	f	TRUE	fight
2000-07-16	10:25	d	z	FALSE	fight
2000-07-17	15:31	d	f	TRUE	fight
2000-07-22	17:46	a	g	FALSE	threat
2000-07-22	15:58	f	k	TRUE	threat
2000-07-22	08:06	s	a	FALSE	fight
2000-07-22	13:05	c	w	FALSE	fight
2000-07-22	09:41	a	w	FALSE	fight
2000-07-23	07:57	s	w	TRUE	fight
2000-07-26	08:07	a	z	FALSE	fight
2000-07-26	12:24	w	z	TRUE	fight
2000-07-26	10:08	k	w	FALSE	fight
2000-07-27	15:02	a	w	FALSE	fight
2000-07-28	10:47	k	a	FALSE	threat
2000-08-02	17:40	c	z	FALSE	fight
2000-08-02	06:45	d	g	FALSE	fight
2000-08-02	15:06	s	g	FALSE	fight
2000-08-02	06:18	g	z	FALSE	fight
2000-08-02	09:26	a	g	TRUE	fight
2000-08-03	06:09	a	c	FALSE	fight
2000-08-07	09:27	c	k	FALSE	threat
2000-08-07	15:48	w	z	FALSE	fight
2000-08-07	16:33	g	w	TRUE	fight
2000-08-07	17:19	c	k	FALSE	threat
2000-08-08	06:29	c	d	FALSE	threat
2000-08-09	08:01	s	g	FALSE	fight
2000-08-12	14:15	k	z	FALSE	fight
2000-08-12	15:42	a	d	TRUE	threat
2000-08-12	16:14	d	g	FALSE	fight
2000-08-13	06:40	d	w	FALSE	fight
2000-08-16	11:33	c	z	TRUE	fight
2000-08-16	16:35	k	z	FALSE	fight
2000-08-16	07:04	g	z	FALSE	fight
2000-08-17	12:13	d	n	FALSE	fight
2000-08-21	17:00	s	w	FALSE	fight
2000-08-21	12:26	s	d	FALSE	fight
2000-08-21	13:35	c	s	FALSE	threat
2000-08-21	07:21	d	n	FALSE	fight
2000-08-22	08:59	k	z	TRUE	fight
2000-08-23	15:01	k	d	FALSE	fight
2000-08-25	11:10	g	n	FALSE	threat
2000-08-25	10:05	g	w	TRUE	fight
2000-08-27	07:15	c	w	FALSE	fight
2000-08-27	14:37	a	w	TRUE	fight
2000-08-28	07:45	d	z	FALSE	fight
2000-09-01	16:00	d	z	TRUE	fight
2000-09-01	06:54	g	k	FALSE	fight
2000-09-01	11:28	a	k	FALSE	fight
2000-09-01	12:01	g	w	TRUE	fight
2000-09-02	11:52	s	c	TRUE	threat
2000-09-03	06:33	c	n	FALSE	fight
2000-09-06	15:17	d	z	TRUE	fight
2000-09-06	15:24	f	c	FALSE	fight
2000-09-06	09:37	a	c	FALSE	fight
